iteration,objective,gradient_norm,parameter_step_norm,accepted_step,backtracks,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4
6156,0.012034445566870923,4.266719871345996e-05,0.0013656331630211352,32.0,0,-24.545748162876485,-25.700355167167366,-24.125947142380355,-0.47927152960651215,-11.749480824633068
6270,0.012027957577473625,4.1676784977366175e-05,0.00133393049666913,32.0,0,-24.63011448424593,-25.788676379209285,-24.209818843188014,-0.48326518523348966,-11.790721718204185
6384,0.012021765819654947,4.0719140489741674e-05,0.0013032768942355523,32.0,0,-24.712530441280276,-25.87496142260427,-24.291756742376613,-0.48716255268320885,-11.830999638535804
6498,0.01201585397834675,3.9792721004616547e-05,0.0012736229115058782,32.0,0,-24.793060187145702,-25.959277019501638,-24.37182422602633,-0.49096693575742,-11.87034664628155
6612,0.01201020682748567,3.8896079175972136e-05,0.0012449222072883617,32.0,0,-24.871764871597936,-26.041686781205687,-24.450081723441354,-0.49468147980251254,-11.908793284578312
6726,0.012004810143068523,3.8027856968396785e-05,0.001217131300373355,32.0,0,-24.948702828207562,-26.122251401312955,-24.52658689084213,-0.4983091815998546,-11.946368674478665
6840,0.011999650624340113,3.7186778777531286e-05,0.0011902093491828823,32.0,0,-25.023929747016055,-26.201028833879306,-24.601394780808878,-0.5018528985004269,-11.983100602904369
6954,0.011994715822241587,3.637164518346906e-05,0.0011641179517068187,32.0,0,-25.097498833976584,-26.27807445800292,-24.674557998796708,-0.5053153568716904,-12.019015603820039
7068,0.011989994074349938,3.558132726956426e-05,0.0011388209635652148,32.0,0,-25.169460958387663,-26.353441230060056,-24.746126847900452,-0.5086991599175492,-12.054139033250504
7182,0.011985474445634617,3.481476144739841e-05,0.0011142843322681313,32.0,0,-25.239864789400052,-26.42717982470086,-24.816149462923676,-0.512006794926183,-12.08849513869913
7296,0.011981146674433275,3.407094473557229e-05,0.0010904759460156153,32.0,0,-25.308756922564264,-26.49933876559631,-24.8846719346957,-0.51524063999501,-12.122107123465696
7410,0.011977001123120166,3.334893044624565e-05,0.001067365495560207,32.0,0,-25.376181997287027,-26.569964546826927,-24.951738425484702,-0.5184029702771875,-12.15499720631115
7524,0.011973028732998417,3.264782423853918e-05,0.001044924347820129,32.0,0,-25.4421828059773,-26.63910174571367,-25.01739127626904,-0.5214959637896981,-12.187186676871113
7638,0.011969220983002904,3.196678050267793e-05,0.0010231254300747217,32.0,0,-25.506800395584406,-26.706793127812183,-25.081671106553316,-0.5245217068193277,-12.218695947179729
7752,0.011965569851843034,3.130499904265084e-05,0.0010019431237410536,32.0,0,-25.570074162162356,-26.773079744721123,-25.144616907348688,-0.52748219895928,-12.249544599629884
7866,0.011962067783258323,3.066172202888529e-05,0.0009813531667855235,32.0,0,-25.632041939032828,-26.838001025292506,-25.206266127877132,-0.5303793578062024,-12.279751431664023
7980,0.011958707654092186,3.003623119538121e-05,0.0009613325639546504,32.0,0,-25.69274007906504,-26.901594860776296,-25.266654756506227,-0.5332150233445859,-12.309334497461851
8094,0.011955482744922778,2.9427845258568956e-05,0.0009418595041343504,32.0,0,-25.752203531541845,-26.963897684381703,-25.325817396373587,-0.5359909620431037,-12.33831114686586
8208,0.011952386713015744,2.8835917537571557e-05,0.000922913284136641,32.0,0,-25.81046591403794,-27.024944545692804,-25.38378733611759,-0.5387088706851743,-12.366698061763254
8322,0.011949413567388585,2.825983375758566e-05,0.0009044742383617098,32.0,0,-25.867559579697563,-27.08476918033688,-25.440596616093334,-0.5413703799541103,-12.394511290122955
8436,0.011946557645797924,2.7699010020030714e-05,0.0008865236737980213,32.0,0,-25.923515680263456,-27.14340407526738,-25.496276090418377,-0.5439770577914245,-12.421766277868096
8550,0.011943813593479865,2.715289092485591e-05,0.0008690438098916362,32.0,0,-25.97836422517849,-27.200880529991956,-25.550855485162586,-0.5465304125451677,-12.44847789874857
8664,0.011941176343490293,2.662094783162766e-05,0.0008520177228677838,32.0,0,-26.03213413705238,-27.257228714046953,-25.604363452968844,-0.5490318959238892,-12.474660482363587
8778,0.011938641098507357,2.6102677247609876e-05,0.000835429294109625,32.0,0,-26.084853303761157,-27.31247772099335,-25.65682762436639,-0.5514829057702944,-12.500327840471046
8892,0.011936203313971654,2.5597599332010147e-05,0.0008192631622741274,32.0,0,-26.136548627423874,-27.3666556191865,-25.708274656016645,-0.5538847886676579,-12.525493291709054
